x,y,id,s
-0.27,-0.17,"bb_36.txt",4.0
-0.26,-0.16,"bb_37.txt",4.0
-0.40,-0.19,"bb_38.txt",4.0
-0.36,-0.20,"bb_39.txt",4.0
-0.47,-0.22,"bb_40.txt",4.0
-0.20,-0.19,"bb_41.txt",4.0
0.50,-0.02,"bb_42.txt",4.0
0.27,-0.08,"bb_43.txt",4.0
0.27,-0.26,"bb_44.txt",4.0
0.44,-0.16,"bb_45.txt",4.0
0.22,-0.09,"bb_46.txt",4.0
0.10,-0.37,"bb_47.txt",4.0
-0.45,-0.23,"bb_48.txt",4.0
-0.23,-0.15,"bb_49.txt",4.0
0.53,-0.26,"bb_50.txt",4.0
-0.35,-0.01,"beginnings_1.txt",4.0
0.18,0.54,"beginnings_2.txt",14.01
-0.19,0.27,"biobreak_1.txt",30.51
0.76,-0.25,"blank_1.txt",4.28
0.62,-0.10,"Blood_1.txt",4.0
0.55,-0.01,"Blood_2.txt",4.0
0.57,-0.29,"Blood_3.txt",4.0
0.29,-0.20,"Blood_4.txt",4.0
-0.51,-0.07,"Blood_5.txt",4.0
0.49,-0.03,"Blood_6.txt",4.0
-0.11,-0.25,"Blood_7.txt",4.0
0.69,-0.11,"Blood_8.txt",4.0
0.49,-0.29,"Blood_9.txt",4.0
0.34,0.70,"Blood_10.txt",4.0
0.63,-0.25,"Blood_11.txt",4.0
0.15,0.02,"Blood_12.txt",4.0
-0.20,-0.02,"Blood_13.txt",4.0
0.29,0.52,"Blood_14.txt",4.0
-0.26,-0.29,"Blood_15.txt",4.0
-0.11,-0.43,"Blood_16.txt",4.0
-0.47,-0.20,"Blood_17.txt",4.0
-0.39,0.08,"Blood_18.txt",4.0
0.05,0.16,"Blood_19.txt",4.0
0.26,0.08,"Blood_20.txt",4.0
0.57,-0.21,"Blood_21.txt",4.0
0.56,-0.06,"Blood_22.txt",4.0
0.48,-0.23,"Blood_23.txt",4.0
0.47,0.09,"Blood_24.txt",4.0
0.26,0.20,"Blood_25.txt",4.0
-0.39,0.13,"Blood_26.txt",4.0
0.40,0.19,"Blood_27.txt",4.0
0.30,0.06,"Blood_28.txt",4.0
-0.24,-0.12,"Blood_29.txt",4.0
0.49,-0.05,"Blood_30.txt",4.0
-0.10,-0.23,"Blood_31.txt",4.0
-0.21,-0.07,"Blood_32.txt",4.0
0.09,-0.02,"bone_1.txt",4.0
0.23,0.11,"bone_2.txt",14.61
-0.60,-0.19,"bone_3.txt",4.0
0.28,-0.01,"bone_4.txt",6.3
0.51,0.33,"brick_1.txt",9.45
0.77,-0.21,"brokenworld_1.txt",4.06
0.19,0.28,"bu_1.txt",4.0
0.07,0.24,"bu_2.txt",4.0
0.44,0.25,"c_1.txt",4.0
0.30,0.33,"c_2.txt",4.0
0.35,-0.18,"c_3.txt",4.0
0.38,-0.31,"c_4.txt",4.0
0.52,0.12,"c_5.txt",4.0
0.70,-0.31,"c_6.txt",4.0
0.05,-0.16,"c_7.txt",4.0
0.38,-0.11,"c_8.txt",4.0
0.48,-0.24,"c_9.txt",4.0
0.23,0.49,"c_10.txt",4.0
-0.08,0.51,"c_11.txt",4.0
0.35,-0.19,"c_12.txt",4.0
0.20,0.05,"c_13.txt",4.0
