

@lastlog, Cybermind MOO


The Cybermind MOO is going down on Monday; here is the official lastlog
taken Perth time around 1 in the morning. This lists all the players who
have ever logged on.

Cybermind MOO was developed for the November 1996 conference in Perth; it
was used heavily during the conference itself. We sent out lastlogs at
that point, so members of the Fop-L and Cybermind email lists could see
the virtual real-time community at work.

Now this is coming through as an epitaph.

Alan

@lastlog

Players who have connected within the last day:
  Debito last connected Fri Nov 29 14:53:46 1996 WST.
  Owl last connected Wed Dec  4 23:20:05 1996 WST.
  Prawn last connected Wed Dec  4 15:34:19 1996 WST.
  iIi last connected Wed Dec  4 14:53:28 1996 WST.
  Apocryphal last connected Mon Mar 10 14:59:03 1997 WST.
  ule last connected Wed Jan  1 21:43:19 1997 WST.
  Fluffy last connected Wed Jan  8 16:59:56 1997 WST.
  Lee last connected Sun Dec  1 13:51:53 1996 WST.
  wbill last connected Tue Dec  3 04:27:07 1996 WST.
  phlox last connected Sun Dec 15 13:19:00 1996 WST.
  Race_Canyon last connected Thu Mar  6 13:57:47 1997 WST.
  Fish last connected Sat Jan 25 11:23:55 1997 WST.
  sonic last connected Thu Jan 16 17:13:26 1997 WST.
  Lig last connected Mon Feb 24 20:57:27 1997 WST.
  Pearl last connected Thu Mar 20 15:05:26 1997 WST.
  zipE last connected Wed Feb 26 15:56:22 1997 WST.
  BeetBaby last connected Tue Mar 11 13:58:06 1997 WST.
  Iceman last connected Thu Feb  6 22:43:11 1997 WST.
  linda last connected Mon Feb 24 19:24:29 1997 WST.
  H:) last connected Fri Mar 21 15:15:13 1997 WST.
  Swatfoot last connected Tue Feb 18 11:32:52 1997 WST.
  Delany last connected Tue Mar  4 18:23:45 1997 WST.
  Samah last connected Tue Mar 18 01:23:57 1997 WST.
Players who have never connected:
  Hacker, Everyman, Generics_holder, aluminum, Oskar, visvamitra, spectre, 
Ventus, ddd, Wal, autre-moi, testing, Michael, moot, day, Zac, Trev, Mick, 
nichodemus, and Mina

